,Plot,RegionName,AverageDBH,Density,DBH_CV,Shannon,shan_Broadleaf,PD,PD_Broadleaf,FDis,FD_Broadleaf,MAT,MAP,SoilThickness,HumusLayerThickness,LitterThickness,Altitude,AGC,Age,Group,MaxDBH
103,103,Changsha,7.549494949,2328.358209,28.80136628,1.044179998,0,787.813212,0,0.373674927,0,18.20833206,1454.383301,80,2,2,101,9.804633492,20,NA,15
104,104,Xiangxi,11.22258065,820.8955224,34.37516714,0.901768372,0,451.872786,0,0.585468067,0,16.72777748,1402.133301,70,4,2,290,10.12813095,14,NA,19.1
105,105,Xiangxi,19.32105263,1208.955224,46.414911,0.640782998,0.693147181,650.100056,0,0,0,17.66250038,1387.68335,35,2,6,350,35.66060575,38,1,35.1
106,106,Changsha,6.993589744,2537.313433,46.66014,0.912629387,0.801818553,798.321398,271.824373,0.275907151,1.203743907,18.16250038,1465.400024,80,2,1,83,6.298066953,19,1,14.2
107,107,Xiangxi,11.20808081,1641.791045,29.74597248,0.728617677,1.098612289,918.380502,135.912186,0.272567304,0,15.10972214,1429.333374,70,5,6,880,30.57680075,18,NA,20.2
108,108,Xiangxi,16.06857143,597.0149254,42.95761569,1.073572375,0,451.872786,0,1.284369166,0,17.40416718,1404.93335,40,2,4,290,35.89325836,27,NA,28.3
109,109,Huaihua,6.909090909,268.6567164,34.01441767,0.668248478,0,325.050028,0,0,0,17.21111107,1440.06665,30,15,10,190,0.889753325,8,NA,13
110,110,Yiyang,9.09789916,3776.119403,26.033367,0.375285279,0.376770161,786.012243,271.824374,0.235102661,0.57280942,17.82083321,1425.916626,45,2,2,260,38.02447984,18,NA,14.22
111,111,Xiangxi,9.49375,1268.656716,29.38435809,0.684749947,0,325.050028,0,0,0,15.43888855,1406.233276,52,4,5,760,9.139950147,17,1,19.2
112,112,Xiangxi,11.513846,1522.38806,45.66912059,1.230878796,1.418069365,925.144155,271.824372,0.441905638,1.972381863,16.90833282,1438.783325,50,2,3,420,48.33457043,22,2,26
113,113,Huaihua,16,731.3432836,69.1525702,1.309922211,0.562335145,899.327906,135.912187,1.326535638,0,16.00555611,1493.783325,50,8,5,640,111.1428649,32,2,48.7
114,114,Yiyang,10.48989899,3000,40.49851028,0.908415779,0.73562194,789.231969,135.912186,0.45502391,0,17.91110992,1427.083374,60,10,8,160,30.67144318,20,NA,26.5
115,115,Xiangxi,12.15263158,970.1492537,22.65883666,0.74990176,0,650.100056,0,0,0,17.49583435,1376,50,1,2,330,13.5897373,19,NA,20.1
116,116,Changsha,10.43898305,1835.820896,29.18260125,0.962564483,0.693147181,912.835,135.912186,0.689849039,0,18.13750076,1423.050049,60,2,2,170,14.66188136,25,1,17.9
117,117,Changsha,7.610204082,2985.074627,30.98683675,1.099621358,0,776.922813,135.912186,1.35616889,0,17.37638855,1530.466675,80,20,20,285,9.934117053,16,NA,18.8
118,118,Huaihua,6.7,3597.014925,0.8,0,0,325.050028,0,0,0,16.66805458,1461.300049,30,6,3,550,13.358698,5,2,6.7
119,119,Loudi,9.641071429,3059.701493,36.75832466,0.808227687,0,451.872786,0,0.637907951,0,17.09860992,1429.483398,60,5,3,300,36.68412406,24,NA,21.9
120,120,Loudi,11.4223301,1791.044776,38.57813716,0.97739134,0,451.872786,0,1.225668364,0,16.09166718,1497.300049,40,1,2,320,37.14449688,20,NA,21.5
121,121,Yiyang,9.030894309,4343.283582,40.51422868,0.693878102,0.376770161,912.835,135.912186,0.208031295,0,16.5625,1473.966675,80,4,5,455,49.8641241,23,NA,23.56666667
122,122,Changsha,7.234042553,2597.014925,24.18007109,0.983854004,0,451.872786,0,0.933904171,0,17.02499962,1450.366699,65,11,12,340,7.633339934,12,NA,13.5
123,123,Changsha,10.86315789,1134.328358,28.51116202,1.286900328,0.598269589,786.658016,145.647389,1.409207436,2.132856587,17.52222252,1441.5,60,10,12,230,15.46085637,21,NA,17
124,124,Huaihua,12.694309,2179.104478,23.70432215,0.31595829,0,325.050028,0,0,0,17.25138855,1425.449951,50,4,2,190,24.24192476,12,2,14.25
125,125,Loudi,8.788356164,2208.955224,27.6692641,0.071584834,0,325.050028,0,0,0,16.53333282,1478.083374,50,1,2,370,21.94505251,14,NA,19.15
126,126,Yiyang,7.908108108,3686.567164,28.94476552,0.563444371,0,325.050028,0,0,0,16.625,1473.849976,40,3,5,485,20.67043848,14,NA,14.23333333
127,127,Changsha,11.91111111,2880.597015,38.77425987,0.964520952,0.828741867,662.409211,135.912186,0.172370549,0,18.17083359,1440.449951,80,1,3,110,25.7331205,18,NA,23.2
128,128,Huaihua,8.48,2029.850746,25.01866606,0.717021981,0,451.872786,0,0.064305773,0,17.00972176,1439.18335,75,5,3,386,10.2265499,11,NA,13.8
129,129,Loudi,10.66923077,731.3432836,43.54947226,0.650482307,0,335.940426,0,0,0,16.84027863,1446.583374,65,3,2,305,4.25707318,11,NA,19.7
130,130,Loudi,9.402222222,2298.507463,36.03994281,0.512465533,0,451.872786,0,0.185801264,0,17.36666679,1417.716675,50,2,3,220,27.57491204,28,NA,17.9
131,131,Changsha,9.541803279,2925.373134,28.05340647,0.662852494,0,325.050028,0,0,0,17.85416603,1429.81665,90,7,4,220,22.92900645,22,NA,16.4
132,132,Changsha,8.13539823,2328.358209,34.8424683,0.936579563,0,451.872786,0,0.788230218,0,17.96805573,1430.06665,70,8,4,150,14.68388572,15,NA,16.4
133,133,Xiangtan,11.14132231,2059.701493,36.35091516,1.056942668,1.277034259,1017.906509,258.317278,0.972610574,2.266716988,17.95138931,1448.25,90,1,3,140,38.92235615,22,2,21.8
134,134,Changsha,11.9527027,2447.761194,37.02841088,1.070901472,1.153741943,1037.845352,384.525569,0.940591244,1.781250854,18.23611069,1447.300049,80,2,1,130,30.49973321,20,NA,26
135,135,Xiangxi,11.39333333,1313.432836,53.92125514,1.565067146,0.774506534,1015.11347,258.317278,1.362217516,0.872021822,17.17222214,1341.616699,70,3,6,710,38.97742289,27,NA,27.9
136,136,Xiangxi,7.241666667,925.3731343,17.5409904,0.491327448,0,325.050028,0,0,0,16.96111107,1376.199951,50,1,1,390,0.897201393,5,NA,9
137,137,Xiangxi,8.484615385,537.3134328,38.08442648,0.65405481,0,325.050028,0,0,0,17.47500038,1386.050049,60,2,1,150,2.014527166,5,NA,14.4
138,138,Huaihua,7.112,1567.164179,41.66014,0.548874384,0,325.050028,0,0,0,17.27777863,1429.116699,70,5,2,200,1.860417205,11,1,9.8
139,139,Loudi,11.63333333,1955.223881,32.48448533,0.909320018,0.693147181,912.835,271.824373,0.648305256,2.086567662,16.23194504,1498.449951,60,2,2,480,36.14066076,22,NA,21.6
140,140,Changsha,8.572527473,3611.940299,27.34024404,0.893474599,0,776.922814,0,0.640841667,0,16.93888855,1472.616699,70,12,8,510,23.46123702,20,NA,17.15
141,141,Changsha,7.995652174,2223.880597,30.81703618,1.11892262,0,458.984322,0,1.185376777,0,17.8069458,1440.18335,60,8,8,280,10.3665989,10,NA,15.1
142,142,Changsha,9.873958333,1910.447761,30.42919988,0.638283758,0,650.100055,135.912186,0.160309471,0,17.93055534,1431.633301,60,5,4,150,20.77272424,20,NA,20.2
143,143,Changsha,10.15154639,1656.716418,39.28805716,1.11469855,0.529706199,900.514407,248.613382,0.837345187,1.324063807,18.19166756,1430.68335,90,10,1,85,26.40098328,18,NA,22
144,144,Xiangxi,10.94782609,552.238806,37.87616175,1.011269802,0.562335145,650.100056,0,0,0,16.35138893,1330.766602,50,3,5,610,7.411063293,18,1,22.1
145,145,Huaihua,7.653333333,925.3731343,18.42895392,0.142505867,0,325.050028,0,0,0,17.57222176,1388.333374,38,3,3,250,5.344108452,11,NA,10.3
146,146,Loudi,11.17281553,1925.373134,23.94909411,0.546186537,0,451.872786,0,0.050087409,0,16.8152771,1451.616699,45,1,3,370,29.08427416,24,NA,17.1
147,147,Loudi,8.629479769,3029.850746,28.11762448,0.54723827,0,451.872786,0,0.174412802,0,16.63888931,1454.93335,60,2,2,470,24.17835118,14,NA,14.86666667
148,148,Xiangtan,10.25725191,2149.253731,32.24568635,1.157602669,1.272089869,1147.941289,394.229466,1.102564723,1.470663217,17.95555496,1449.550049,70,1,2,115,31.41529226,22,NA,17.85
149,149,Xiangxi,10.77846154,1029.850746,29.27116072,0.221347809,0,325.050028,0,0,0,17.47638893,1368.199951,60,2,2,170,17.58012627,17,NA,16.6
150,150,Loudi,9.257471264,2970.149254,35.52971366,1.088546564,0,776.922813,135.912186,1.263608731,0,16.19444466,1494.18335,120,1,10,460,31.74726739,21,NA,23.8
151,151,Loudi,8.330597015,2567.164179,23.02060132,0.670525264,0,451.872786,0,0.222820153,0,16.16388893,1527.333252,45,1,2,620,16.03082647,12,NA,13.5
152,152,Loudi,8.694308943,3164.179104,37.01611697,1.350075037,1.49856908,984.815974,281.559575,1.404571523,2.392685748,16.72638893,1506.43335,70,1,8,360,20.02726989,10,2,19.95
153,153,Loudi,12.15327103,1895.522388,40.8664588,0.480098981,0,650.100055,135.912186,0.062282616,0,16.39444351,1544.099976,34,2,3,480,49.84974799,28,NA,25.9
154,154,Xiangxi,6.469148936,4283.58209,19.64949066,1.086898321,0,501.809402,0,0.909587029,0,16.20694351,1330.416748,56,2,3,650,11.05069659,12,NA,10.45
155,155,Xiangxi,13.46052632,1432.835821,48.23959816,0.719455927,0,650.100056,135.912187,0.128914715,0,16.35555649,1336.583374,70,4,3,630,27.14674606,20,NA,29.2
156,156,Xiangxi,9.152631579,2029.850746,21.06727197,0.801435682,0,451.872786,0,0.299212143,0,16.85972214,1329.449951,70,3,3,340,11.71011238,11,NA,14.3
157,157,Huaihua,7.688235294,1865.671642,22.48042595,0.901059105,0,776.922814,0,0.811660054,0,17.36666679,1345.25,30,2,5,280,9.992084758,11,NA,11.7
158,158,Huaihua,7.313414634,2089.552239,22.13120784,1.03856019,0,451.872786,0,1.104053209,0,16.75694466,1433.466675,70,4,4,344,6.388653185,7,2,12
159,159,Xiangtan,10.2009434,3104.477612,22.35369727,0.720167581,0,650.100056,135.912187,0.047015984,0,17.87361145,1459.599976,70,1,3,220,22.53406862,21,NA,13.975
160,160,Xiangtan,11.85384615,895.5223881,25.29837575,0.80174716,0,650.100055,135.912186,0.503998245,0,17.5625,1465.116699,80,10,5,305,8.817830437,22,1,15.9
161,161,Xiangtan,9.463333333,1850.746269,24.41812127,0.950995321,0,660.990454,135.912187,0.739528421,0,18.33889008,1453.550049,60,1,1,120,10.63849796,12,NA,17.1
162,162,Huaihua,7.102469136,3134.328358,25.18292675,0.753830295,0,501.809402,0,0.312697698,0,17.24444389,1360.800049,35,1,2,240,12.56731198,10,NA,12.3
163,163,Xiangxi,11.34782609,477.6119403,31.63262275,1.075209496,0,451.872786,0,1.240845523,0,16.14999962,1324.766724,65,6,10,680,6.862738946,5,NA,18
164,164,Huaihua,9.051351351,656.7164179,21.45720301,0.43815932,0,325.050028,0,0,0,17.43055534,1344.550049,30,5,3,270,5.501379532,11,NA,13
165,165,Loudi,10.99909091,1761.19403,24.40869113,0.296172324,0,451.872786,0,0.046929289,0,18.04027748,1436.06665,70,3,3,270,29.87849996,23,NA,17.95
166,166,Xiangtan,7.904651163,1985.074627,34.51267712,0.720936777,0,650.100056,0,0,0,18.16805649,1461.81665,60,20,10,161,10.51838616,17,NA,15.7
167,167,Huaihua,13.24054054,1000,42.378492,0.843080438,0,451.872786,0,0.38814998,0,17.06388855,1332.833374,70,2,3,400,20.63808041,33,1,20.8
168,168,Loudi,8.068421053,2761.19403,25.77428495,0.854351208,0,660.990453,135.912186,0.151658517,0,18.43888855,1434.900024,60,2,1,135,19.41648987,14,NA,15.5
169,169,Xiangtan,10.35882353,2328.358209,33.95215033,1.283868268,1.545422903,1055.846726,406.53862,1.153520595,1.636853416,18.35833359,1441.466675,80,1,2,110,21.62932331,18,NA,21.5
170,170,Huaihua,9.825,2119.402985,38.34333542,1.0395966,0,451.872786,0,1.277272032,0,16.92083359,1394.400024,60,2,1,310,16.63015162,13,NA,18.8
171,171,Huaihua,15.725,668.6567,24.127983,0.900908873,0,451.872786,0,1.119246047,0,16.63055611,1415.449951,70,2,3,370,13.29533814,4,1,22
172,172,Loudi,10.01632653,1089.552239,30.1358852,0.900599619,0,776.922814,135.912187,0.554386118,0,17.63333321,1409.06665,65,5,3,290,10.93361817,11,NA,16.4
173,173,Loudi,8.838528139,3776.119403,39.495543,0.684749776,1.339268537,1036.512054,510.015029,0.519406043,1.491967019,16.17361069,1445.93335,70,2,1,190,40.8999772,17,2,20.26666667
174,174,Xiangtan,9.01092437,2402.985075,34.67609455,1.355415051,0.815314037,683.268076,135.912186,0.844904877,0,18.40416718,1451.199951,80,20,10,75,21.47250035,20,NA,16.86666667
175,175,Loudi,11.73088235,1552.238806,30.68619902,0.763259253,0,650.100056,135.912187,0.212170377,0,18.36666679,1445.150024,90,1,2,150,23.85397675,24,NA,23.9
176,176,Huaihua,9.82189781,3059.701493,46.1061595,1.630201746,1.703996491,1180.02105,406.538619,1.515728851,0.871945555,16.78888893,1311.300049,73,5,5,550,35.88907795,18,NA,28.8
177,177,Loudi,8.615384615,1059.701493,33.04417926,0.64544948,0.673011667,786.012243,271.824374,1.591719477,1.256907528,17.64722252,1436.266602,46,3,2,320,1.881040996,6,NA,13.4
178,178,Huaihua,9.480165289,2253.731343,73.54414563,1.842813977,1.510193317,897.515499,371.018474,1.959253035,1.7379515,16.81666565,1343.383301,40,2,3,510,64.44087748,41,NA,42.15
